result,odds_home,odds_draw,odds_away,home_wins,home_draws,home_losses,home_goals,home_opposition_goals,home_shots,home_shots_on_target,home_opposition_shots,home_opposition_shots_on_target,away_wins,away_draws,away_losses,away_goals,away_opposition_goals,away_shots,away_shots_on_target,away_opposition_shots,away_opposition_shots_on_target
1,3.1,3.1,2.4,2,1,7,11,20,86,32,133,43,5,3,2,13,9,139,48,116,32
0,2.1,3.3,3.5,0,5,5,8,17,119,35,130,52,3,4,3,10,11,105,40,133,40
2,2.88,3.4,2.38,2,3,5,7,13,93,29,139,45,3,2,5,17,21,174,56,117,57
1,2.2,3.2,3.4,3,3,4,14,17,122,45,154,55,4,4,2,14,11,110,35,111,37
0,3.1,3.3,2.3,3,3,4,13,17,134,40,138,44,7,2,1,20,12,165,63,96,31
1,1.2,6.5,13.0,6,2,2,18,7,188,72,84,26,3,1,6,13,17,85,33,126,44
2,2.05,3.25,3.75,3,3,4,13,13,129,38,127,61,6,2,2,13,7,139,45,114,29
1,2.0,3.2,4.0,3,3,4,12,9,107,38,120,38,4,2,4,9,13,80,26,125,42
1,1.25,5.5,12.0,4,3,3,11,11,148,53,106,31,3,1,6,10,21,88,28,171,69
0,3.0,3.2,2.4,5,2,3,13,10,107,39,155,48,5,3,2,18,9,144,59,130,36
1,3.3,3.3,2.2,3,3,4,16,15,124,42,143,56,4,1,5,18,16,166,68,108,43
0,3.0,3.2,2.38,5,4,1,17,7,131,54,131,35,6,2,2,20,7,191,74,85,27
1,1.62,3.6,6.0,6,3,1,17,11,169,64,96,32,5,2,3,13,11,146,49,93,29
1,2.1,3.2,3.6,4,2,4,18,16,120,45,145,51,4,3,3,18,18,111,43,159,59
2,2.4,3.2,3.0,6,2,2,12,7,127,43,117,27,2,4,4,12,17,139,42,136,44
1,1.44,4.2,7.5,4,1,5,17,14,172,63,103,40,3,2,5,7,15,86,27,116,39
2,3.4,3.3,2.15,2,1,7,8,23,83,24,171,67,4,3,3,11,10,106,35,147,45
1,1.5,4.33,6.0,3,2,5,16,21,166,52,115,53,3,5,2,10,9,101,39,134,37
1,2.25,3.1,3.4,4,3,3,14,7,105,38,121,36,3,3,4,13,13,128,40,126,58
2,2.2,3.2,3.4,3,1,6,12,17,82,30,122,44,1,3,6,7,15,90,26,138,49
0,2.1,3.2,3.6,4,4,2,15,11,107,38,108,37,0,6,4,8,16,126,36,123,53
2,4.0,3.4,1.91,3,4,3,10,11,105,40,132,37,6,3,1,16,10,176,63,93,30
0,2.8,3.4,2.4,5,2,3,11,9,104,34,143,40,4,2,4,19,21,162,53,125,55
1,1.44,4.0,8.0,2,3,5,9,12,95,27,120,38,2,1,7,7,20,90,23,167,64
1,2.25,3.1,3.4,4,3,3,17,17,109,39,161,58,5,3,2,14,4,108,39,112,34
1,3.5,3.5,2.05,2,2,6,7,17,88,23,128,42,5,5,0,16,5,126,53,133,36
2,1.73,3.5,5.0,3,4,3,15,18,141,46,135,45,4,2,4,18,14,125,48,124,43
1,1.29,5.25,11.0,5,3,2,18,8,174,67,99,33,5,2,3,11,9,123,43,125,31
2,2.5,3.25,2.8,4,2,4,12,14,140,49,101,34,4,1,5,15,14,182,63,102,37
2,1.91,3.3,4.2,0,6,4,7,15,115,29,119,48,3,1,6,11,15,82,27,117,42
1,2.0,3.3,3.8,2,3,5,9,13,123,34,131,56,4,4,2,14,10,104,36,105,33
2,5.5,3.75,1.62,5,2,3,18,12,124,47,123,39,5,3,2,16,7,160,62,100,32
